ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S106,M,B3,BT54,T246,Congruent,Double,Below,Right,1,439.25
S106,M,B3,BT55,T247,Incongruent,Double,Below,Left,0,411.51
S106,M,B3,BT56,T248,Incongruent,Central,Above,Left,1,818.44
S106,M,B3,BT57,T249,Incongruent,Spatial,Below,Left,1,460.81
S106,M,B3,BT58,T250,Congruent,Central,Below,Right,1,439.89
S106,M,B3,BT59,T251,Incongruent,Central,Below,Right,1,561.63
S106,M,B3,BT60,T252,Incongruent,Spatial,Below,Left,1,451.05
S106,M,B3,BT61,T253,Congruent,None,Above,Left,1,571.39
S106,M,B3,BT62,T254,Incongruent,Double,Above,Right,1,640
S106,M,B3,BT63,T255,Congruent,None,Below,Right,1,474.5
S106,M,B3,BT64,T256,Congruent,Spatial,Above,Left,1,513.38
S106,M,B3,BT65,T257,Incongruent,Double,Below,Right,1,641.73
S106,M,B3,BT66,T258,Incongruent,Central,Below,Left,1,624.01
S106,M,B3,BT67,T259,Incongruent,Double,Above,Right,1,666.36
S106,M,B3,BT68,T260,Incongruent,Spatial,Above,Right,1,436.28
S106,M,B3,BT69,T261,Incongruent,Double,Below,Right,1,578.64
S106,M,B3,BT70,T262,Congruent,None,Above,Right,1,552.74
S106,M,B3,BT71,T263,Congruent,Double,Above,Left,1,452.44
S106,M,B3,BT72,T264,Incongruent,None,Below,Right,1,599.73
S106,M,B3,BT73,T265,Incongruent,None,Below,Right,1,587.2
S106,M,B3,BT74,T266,Congruent,None,Above,Left,1,541.73
S106,M,B3,BT75,T267,Incongruent,None,Above,Right,1,585.76
S106,M,B3,BT76,T268,Congruent,None,Above,Right,1,410.86
S106,M,B3,BT77,T269,Congruent,Central,Above,Right,1,380.98
S106,M,B3,BT78,T270,Incongruent,Spatial,Above,Left,1,487.77
S106,M,B3,BT79,T271,Congruent,Spatial,Above,Left,1,361.18
S106,M,B3,BT80,T272,Congruent,Double,Below,Right,1,381.11
S106,M,B3,BT81,T273,Incongruent,Spatial,Below,Right,1,577.06
S106,M,B3,BT82,T274,Incongruent,Spatial,Below,Right,1,470.54
S106,M,B3,BT83,T275,Incongruent,None,Above,Right,1,780.7
S106,M,B3,BT84,T276,Congruent,Double,Below,Right,1,567.59
S106,M,B3,BT85,T277,Congruent,Central,Above,Left,1,570.34
S106,M,B3,BT86,T278,Congruent,Central,Below,Right,1,413.83
S106,M,B3,BT87,T279,Congruent,None,Below,Left,1,565.08
S106,M,B3,BT88,T280,Incongruent,None,Below,Left,1,1124.02
S106,M,B3,BT89,T281,Congruent,Spatial,Below,Right,1,375.79
S106,M,B3,BT90,T282,Congruent,Spatial,Below,Right,1,399.92
S106,M,B3,BT91,T283,Incongruent,None,Above,Left,0,478.29
S106,M,B3,BT92,T284,Incongruent,Spatial,Above,Left,1,760.84
S106,M,B3,BT93,T285,Congruent,Spatial,Above,Right,1,372.41
S106,M,B3,BT94,T286,Incongruent,Central,Above,Right,1,542.67
S106,M,B3,BT95,T287,Congruent,Double,Below,Left,1,579.68
S106,M,B3,BT96,T288,Congruent,Double,Below,Left,1,423.93
S111,B,B1,BT1,T1,Congruent,Spatial,Below,Right,1,609.88
S111,B,B1,BT2,T2,Incongruent,Central,Above,Right,1,609.16
S111,B,B1,BT3,T3,Congruent,Central,Above,Right,1,478.9
S111,B,B1,BT4,T4,Congruent,Central,Below,Right,1,624.41
S111,B,B1,BT5,T5,Congruent,None,Below,Left,1,588.46
S111,B,B1,BT6,T6,Incongruent,Double,Above,Left,1,620.88
S111,B,B1,BT7,T7,Incongruent,Spatial,Below,Left,1,470.83
S111,B,B1,BT8,T8,Congruent,Double,Below,Left,1,510.2
S111,B,B1,BT9,T9,Congruent,Double,Above,Left,1,489.93
S111,B,B1,BT10,T10,Incongruent,Spatial,Above,Left,1,513.01
S111,B,B1,BT11,T11,Incongruent,Spatial,Below,Right,1,473.1
S111,B,B1,BT12,T12,Incongruent,Central,Above,Left,1,522.67
S111,B,B1,BT13,T13,Congruent,Central,Above,Left,1,502.28
S111,B,B1,BT14,T14,Incongruent,None,Above,Right,1,689.1
